question,subject
"If a bond issue of Rs. 100000 in 10 years bonds, in Rs. 1000 units, paying 10% nominal interest in semiannuual payments must be retired by use of sinking fund that earns 8% compounded semiannuaally, find the total cost for interest and retirement of the entire bond issue over 10 years.",Engineering Economics
Briefly explain the VAT system in Nepal.,Engineering Economics
Write short notes on (any two):   i) Cost accounting and general accounting   ii) Sole Proprietorship   iii) elements of cost,Engineering Economics
“Engineering geological studies is important in context of Nepal” explain.,Engineering Geology and Elements of Soil Mechanics
Differentiate between:   i) Tenacity and hardness   ii) Crystal and minerals,Engineering Geology and Elements of Soil Mechanics
What is a rock? What are the various categories that rocks are classified into?,Engineering Geology and Elements of Soil Mechanics
"Define fault, explain with diagram the different types of faults.",Engineering Geology and Elements of Soil Mechanics
"Define water table .What do you understand by aquiclude, aquitard and aquifuse?",Engineering Geology and Elements of Soil Mechanics
Write a brief description and significance of:   i) topographic maps   ii) geological map,Engineering Geology and Elements of Soil Mechanics
Give the general engineering properties of different types of soils classified according to Unified soil classification system.,Engineering Geology and Elements of Soil Mechanics
What is meant by gravitational force and surface bonding force? What is the   relative importance of these for coarse grained and fine grained soil,Engineering Geology and Elements of Soil Mechanics
"Define the term soil, soil mechanics and soil engineering.",Engineering Geology and Elements of Soil Mechanics
"A sand deposit consists of two layers. The top layer is 3m thick (γ =17KN/m3) and the bottom layer is 4m thick (γsat =17KN/m3). The water table is at a depth of 4m from the surface and zone of capillary saturation is 1m above the water table. Draw the diagrams showing the variation of total stress, neutral stress and effective stress.",Engineering Geology and Elements of Soil Mechanics
What are the limitations of Darcy's law?,Engineering Geology and Elements of Soil Mechanics
"During a pumping test, a well was sunk through a stratum of dense sand 10m deep overlying an impervious stratum. Observation holes were drilled at 12m and 6m from the well. Initially, the water level in the well was 2.5m below the ground surface. After pumping until steady conditions had been achieved, the water level in the observation wells had dropped 1.95m and 0.5m respectively. If the steady discharge was 5 liters/sec, determine the coefficient of permeability.",Engineering Geology and Elements of Soil Mechanics
Explain the Energy – Budget method of estimating evaporation loss of water from a lake.,Engineering Hydrology
What are mass curve and hyetograph of storm?,Engineering Hydrology
"A reservoir had an average surface area of 20 km2 during June 1982. In that month the mean rate of inflow were 10 m3/s and 15m3/s respectively. The total rainfall in that month was 10 cm and change in storage was 16 million m3. Assuming the seepage losses to be 1.8 cm, estimate evaporation in that month.",Engineering Hydrology
What is a unit hydrograph? List the assumptions involved in the unit hydrograph theory.,Engineering Hydrology
Describe the process of deriving a unit hydrograph from a complex storm data.,Engineering Hydrology
Explain Gumbel's extreme value frequency distribution function.,Engineering Hydrology
Adopting usual notations derive an expression for the steady state discharge of a well in a confined aquifer.,Engineering Hydrology
"An unconfined aquifer has a thickness of 30 m. A fully penetrating 20 cm diameter well in this aquifer is pumped at the rate 35 1/s. The drawdown measured in two observation wells located at a distance of 10m and 100 m from the well are 7.5 m and 0.5 m respectively. Determine the hydraulic conductivity of aquifer. At what distance from the well, the drawdown is insignificant.",Engineering Hydrology
"During a recuperating test conducted on an open well in a region, the water level in the well was depressed by 3 m and it was observed to rise by 1.75 m in 75 minutes. i) What is the specific yield of an open well in that region? ii) What could be the yield from well of 5 m diameter under depression head of 2.5 m? iii) What should be the diameter of well to give a yield of 121/s under depression head of 2.5m?",Engineering Hydrology
Explain the ways the ground water gets contaminated.,Engineering Hydrology
Write short notes on (any two):   i) Infiltration indices   ii) Recording chart of different raingauge   iii) Hydrologic /cycle,Engineering Hydrology
What are the different types of estimate? How are they differ from each other? Which of the method can give the exact cost and why ? Explain.,Estimating and Valuation
